sample_name	experiment_accession
10143.016.4.19.2013.Soil.Head.SiteA	ERX1166406
10143.004.4.25.2013.Skin.PBS.RLateral.WW	ERX1166015
10143.004.5.9.2013.Skin.LLateral.YD	ERX1166302
10143.004.4.25.2013.Skin.LBicep.XD	ERX1166003
10143.016.5.23.2013.Skin.PBS.LBicep.XW	ERX1166694
10143.016.6.10.2013.Skin.RHip.RD	ERX1166866
10143.004.5.23.2013.Skin.PBS.LKnee.TW	ERX1166190
10143.016.7.8.2013.Skin.PBS.LHip.SW	ERX1166884
10143.004.4.29.2013.Soil.Head.SiteA	ERX1166070
10143.016.4.19.2013.Skin.PBS.LKnee.TW	ERX1166398
10143.016.4.25.2013.Skin.RBicep.VD	ERX1166483
10143.016.5.13.2013.Skin.Groin.UD	ERX1166608
10143.004.5.1.2013.Skin.Head.QD	ERX1166077
10143.016.5.7.2013.Soil.RHip.SiteB	ERX1166820
10143.016.5.9.2013.Skin.RBicep.VD	ERX1166839
10143.016.7.8.2013.Skin.PBS.RLateral.WW	ERX1166888
10143.004.4.25.2013.Soil.RArmpit.SiteG	ERX1166024
10143.016.5.9.2013.Skin.PBS.RBicep.VW	ERX1166836
10143.004.5.13.2013.Soil.LKnee.SiteD	ERX1166144
10143.004.5.1.2013.Skin.RHip.RD	ERX1166092
10143.016.5.11.2013.Soil.ctrl.ctrlB	ERX1166606
10143.016.5.19.2013.Skin.PBS.LLateral.YW	ERX1166671
10143.004.5.9.2013.Soil.Groin.SiteE	ERX1166316
10143.004.5.1.2013.Soil.LArmpit.SiteF	ERX1166096
10143.016.5.13.2013.Skin.LLateral.YD	ERX1166612
10143.004.6.10.2013.Soil.LKnee.SiteD	ERX1166342
10143.004.5.7.2013.Skin.RBicep.VD	ERX1166288
10143.016.4.19.2013.Soil.LHip.SiteC	ERX1166408
10143.004.4.27.2013.Skin.PBS.Groin.UW	ERX1166032
10143.016.5.7.2013.Skin.RHip.RD	ERX1166812
10143.004.4.21.2013.Soil.RArmpit.SiteG	ERX1165974
10143.004.4.17.2013.Soil.RHip.SiteB	ERX1165927
10143.004.4.23.2013.Skin.RHip.RD	ERX1165992
10143.016.5.11.2013.Skin.PBS.RHip.RW	ERX1166593
10143.004.5.9.2013.Skin.PBS.Head.QW	ERX1166305
10143.004.5.15.2013.Soil.LHip.SiteC	ERX1166162
10143.016.5.23.2013.Skin.PBS.LKnee.TW	ERX1166696
10143.004.5.27.2013.Soil.LHip.SiteC	ERX1166219
10143.016.4.21.2013.Skin.PBS.RBicep.VW	ERX1166427
10143.016.4.27.2013.Soil.LKnee.SiteD	ERX1166518
10143.004.4.19.2013.Skin.PBS.RLateral.WW	ERX1165940
10143.004.6.10.2013.Soil.Head.SiteA	ERX1166339
10143.016.4.27.2013.Skin.PBS.RHip.RW	ERX1166509
10143.004.4.23.2013.Soil.LHip.SiteC	ERX1165997
10143.004.5.9.2013.Skin.Groin.UD	ERX1166298
10143.004.4.17.2013.Skin.RHip.RD	ERX1165917
10143.004.4.25.2013.Skin.RBicep.VD	ERX1166016
10143.004.4.23.2013.Skin.RBicep.VD	ERX1165991
10143.004.4.27.2013.Soil.RHip.SiteB	ERX1166050
10143.004.5.23.2013.Skin.PBS.RBicep.VW	ERX1166191
10143.004.5.5.2013.Skin.PBS.Head.QW	ERX1166255
10143.004.5.19.2013.Soil.RArmpit.SiteG	ERX1166183
10143.016.4.21.2013.Skin.RHip.RD	ERX1166431
10143.016.5.7.2013.Skin.LHip.SD	ERX1166799
10143.004.4.21.2013.Skin.RBicep.VD	ERX1165966
10143.004.4.21.2013.Skin.PBS.Groin.UW	ERX1165957
10143.016.5.23.2013.Skin.PBS.RLateral.WW	ERX1166700
10143.016.4.27.2013.Skin.PBS.LHip.SW	ERX1166505
10143.004.5.15.2013.Soil.LKnee.SiteD	ERX1166163
10143.004.5.5.2013.Soil.Head.SiteA	ERX1166267
10143.004.4.21.2013.Skin.PBS.RBicep.VW	ERX1165963
10143.016.5.19.2013.Soil.LKnee.SiteD	ERX1166682
10143.016.5.3.2013.Skin.PBS.RLateral.WW	ERX1166754
